,2017,2018,2019,2020,2021,2022
서초구,277,298,314,321,317,323
강남구,514,558,597,606,615,627
동작구,91,118,141,147,161,172
송파구,89,108,123,160,208,243
광진구,86,137,181,200,220,233
용산구,99,105,118,129,130,135
동대문구,126,154,188,188,204,221
마포구,196,219,202,183,221,233
노원구,122,139,153,165,189,197
영등포구,229,263,303,326,330,322
강서구,178,209,260,279,282,308
성북구,98,121,148,165,180,199
성동구,74,108,123,126,144,165
종로구,87,87,94,84,85,87
중구,167,198,215,213,212,217
은평구,115,135,126,148,166,169
강북구,82,90,107,122,132,136
강동구,181,220,254,268,280,286
구로구,136,156,184,207,229,254
양천구,125,147,174,186,198,203
관악구,221,250,278,265,285,298
금천구,103,133,162,173,203,207
도봉구,98,113,129,137,149,156
중랑구,115,144,186,196,223,233
서대문구,104,124,160,191,201,208
