,연도,인구이동률
0,2006/Q1,0.28182746250381385
1,2006/Q2,0.27196855040214246
2,2006/Q3,0.23979112014311357
3,2006/Q4,0.30830613595889156
4,2007/Q1,0.2951173059593889
5,2007/Q2,0.2532111279888762
6,2007/Q3,0.22011296843418554
7,2007/Q4,0.2718165160107818
8,2008/Q1,0.26604039182323536
9,2008/Q2,0.2714223726205973
10,2008/Q3,0.23712100024355948
11,2008/Q4,0.22813687748959016
12,2009/Q1,0.2398004693125009
13,2009/Q2,0.2306843411892165
14,2009/Q3,0.2273690321765703
15,2009/Q4,0.22489421035499652
16,2010/Q1,0.2282215179699923
17,2010/Q2,0.2146356891430552
18,2010/Q3,0.19045703770742778
19,2010/Q4,0.21443659729542838
20,2011/Q1,0.2304214511137315
21,2011/Q2,0.2118935248256992
22,2011/Q3,0.20087617870076743
23,2011/Q4,0.20507127538189715
24,2012/Q1,0.21128203409789922
25,2012/Q2,0.18852887885743555
26,2012/Q3,0.1691795297716355
27,2012/Q4,0.20033269745833504
28,2013/Q1,0.1990610065965291
29,2013/Q2,0.1886288357911615
30,2013/Q3,0.16821567582443464
31,2013/Q4,0.1950429315951722
32,2014/Q1,0.20088022057252725
33,2014/Q2,0.191046346171453
34,2014/Q3,0.18151598788415174
35,2014/Q4,0.19786961729789118
36,2015/Q1,0.20038506444471388
37,2015/Q2,0.20243091322374407
38,2015/Q3,0.18630923343201394
39,2015/Q4,0.20232088799192735
40,2016/Q1,0.1962717421838882
41,2016/Q2,0.18020262831101624
42,2016/Q3,0.18116591114837588
43,2016/Q4,0.19930073685408914
44,2017/Q1,0.20077548256171326
45,2017/Q2,0.17146823213387796
46,2017/Q3,0.18083653350811665
47,2017/Q4,0.16831805637899927
48,2018/Q1,0.19226838166659943
49,2018/Q2,0.16829953460097732
50,2018/Q3,0.15727832099868008
51,2018/Q4,0.18331149088104978
52,2019/Q1,0.18961296144172124
53,2019/Q2,0.15224286874610785
54,2019/Q3,0.15520154912474682
55,2019/Q4,0.17365401879330483
56,2020/Q1,0.21012916838880621
57,2020/Q2,0.16936029664410268
58,2020/Q3,0.1717267766934649
59,2020/Q4,0.17787781402884684
60,2021/Q1,0.19024077458530905
61,2021/Q2,0.15739401225529015
62,2021/Q3,0.1625074248639914
63,2021/Q4,0.1547046807653038
64,2022/Q1,0.1643871663065167
65,2022/Q2,0.1329731533843001
66,2022/Q3,0.12786980443947052
67,2022/Q4,0.12318005818775898
