자치구별,2018년도고등학교수,2019년도고등학교수,2020년도고등학교수,2021년도고등학교수,2022년도고등학교수
강남구,44.0,44.0,44,44,44
강동구,28.0,28.0,28,28,28
강북구,14.0,14.0,14,14,14
강서구,46.0,46.0,46,46,46
관악구,34.0,34.0,34,34,34
광진구,18.0,18.0,18,18,18
구로구,28.0,28.0,28,28,28
금천구,12.0,12.0,12,12,12
노원구,50.0,50.0,50,50,50
도봉구,20.0,20.0,20,20,20
동대문구,22.0,22.0,22,22,22
동작구,14.0,14.0,14,14,14
마포구,18.0,18.0,18,18,18
서대문구,14.0,14.0,14,14,14
서초구,22.0,22.0,22,22,22
성동구,18.0,18.0,18,18,16
성북구,26.0,26.0,26,26,26
송파구,38.0,38.0,38,38,40
양천구,30.0,30.0,30,30,30
영등포구,18.0,18.0,18,18,18
용산구,20.0,20.0,20,20,20
은평구,36.0,36.0,36,36,36
종로구,28.0,28.0,28,28,28
중구,22.0,22.0,22,22,22
중랑구,20.0,20.0,20,20,20
