,자치구별,범죄건수변동률,정류장수변동률,편의점수변동률,카페수변동률,학교수변동률,병원수변동률,학원수변동률,대학교수변동률,매매가변동률,전월세가변동률
0,종로구,-25.549450549450547,-3.4031413612565444,-2.2988505747126435,-3.0786773090079818,0.0,-1.411290322580645,-20.802919708029197,0.0,62.17277486910995,35.56085918854415
1,중구,-21.008403361344538,-3.3816425120772946,7.07070707070707,7.08955223880597,0.0,2.5089605734767026,-23.52941176470588,0.0,47.53157290470723,17.42738589211618
2,용산구,-40.52757793764988,-6.017191977077363,23.809523809523807,14.83375959079284,0.0,6.25,-13.291139240506327,0.0,58.58333333333333,22.63779527559055
3,성동구,7.8431372549019605,1.366742596810934,33.33333333333333,27.03488372093023,0.0,6.481481481481481,-7.643312101910828,0.0,72.32824427480917,21.40221402214022
4,광진구,-10.46831955922865,-5.594405594405594,60.58394160583942,47.32620320855615,0.0,1.0849909584086799,-0.9302325581395349,0.0,60.86956521739131,23.977695167286246
5,동대문구,16.049382716049383,-4.716981132075472,32.467532467532465,8.10126582278481,0.0,-1.1608623548922055,-1.1019283746556474,0.0,69.40836940836941,25.735294117647058
6,중랑구,14.705882352941178,0.2638522427440633,54.861111111111114,48.582995951417004,0.0,7.429718875502007,-5.86080586080586,0.0,79.11275415896488,37.37704918032787
7,성북구,-26.732673267326735,-1.6366612111292964,48.760330578512395,21.016166281755197,0.0,0.5660377358490566,-2.8017241379310347,0.0,81.87599364069952,22.11302211302211
8,강북구,-18.681318681318682,-11.08695652173913,46.666666666666664,18.95734597156398,0.0,3.7777777777777777,-3.669724770642202,0.0,66.78507992895204,16.964285714285715
9,도봉구,-25.98870056497175,-7.253886010362693,31.858407079646017,22.707423580786028,0.0,0.5494505494505495,-14.925373134328357,0.0,78.37301587301587,28.6231884057971
10,노원구,0.0,-1.86219739292365,35.97122302158273,20.785219399538107,0.0,2.789400278940028,-8.433734939759036,0.0,85.69051580698836,23.905723905723907
11,은평구,-6.089743589743589,-0.4008016032064128,22.962962962962962,5.426356589147287,0.0,6.832298136645963,-2.3032629558541267,0.0,66.18819776714514,20.32520325203252
12,서대문구,5.0359712230215825,2.2522522522522523,62.096774193548384,0.8130081300813009,0.0,1.627906976744186,-0.8695652173913043,0.0,72.76478679504814,22.24770642201835
13,마포구,-28.70748299319728,-1.054481546572935,0.91324200913242,-3.923647932131495,0.0,6.573426573426573,7.453416149068323,0.0,58.54398382204246,14.2578125
14,양천구,4.66321243523316,-12.672176308539946,34.69387755102041,19.047619047619047,0.0,3.827751196172249,-7.8154425612052725,0.0,66.83107274969173,8.299595141700406
15,강서구,2.358490566037736,-1.215277777777778,34.92822966507177,31.550802139037433,-0.9615384615384616,10.598503740648379,-1.4144271570014144,0.0,61.401098901098905,15.763546798029557
16,구로구,-15.802469135802468,3.9748953974895396,46.794871794871796,16.461916461916463,4.615384615384616,4.856115107913669,-9.601873536299765,0.0,58.82352941176471,1.1111111111111112
17,금천구,-9.89010989010989,0.0,52.63157894736842,23.456790123456788,0.0,5.014749262536873,-6.306306306306306,0.0,77.13178294573643,20.298507462686565
18,영등포구,-18.91891891891892,-5.091649694501019,25.475285171102662,14.643304130162704,1.9230769230769231,7.452574525745257,-5.781584582441114,0.0,63.07692307692307,24.49438202247191
19,동작구,-26.923076923076923,-5.0,36.440677966101696,8.89423076923077,0.0,4.385964912280701,6.331877729257641,0.0,89.77272727272727,25.49800796812749
20,관악구,-3.1192660550458715,-3.711340206185567,14.000000000000002,23.799582463465555,0.0,4.258443465491924,-3.5555555555555554,0.0,69.62616822429906,24.661246612466126
21,서초구,-14.960629921259844,-6.635802469135803,6.375838926174497,5.795574288724974,0.0,8.742714404662781,1.415929203539823,0.0,51.129363449691986,23.410852713178297
22,강남구,-6.336633663366337,-2.6217228464419478,10.21505376344086,11.55449672424062,0.0,7.5558982266769465,5.302695536897923,0.0,38.131609870740306,25.993883792048926
23,송파구,-3.6893203883495143,0.24213075060532688,92.5925925925926,55.50561797752809,1.9230769230769231,7.528786536758194,-0.570884871550904,0.0,65.11240632805995,16.464471403812826
24,강동구,-2.904564315352697,4.584527220630372,27.27272727272727,39.18269230769231,4.10958904109589,10.505836575875486,2.507836990595611,0.0,67.48251748251748,9.322033898305085
