,계약연도,자치구별,학교수
0,2018,강남구,101
1,2018,강동구,73
2,2018,강북구,41
3,2018,강서구,104
4,2018,관악구,72
5,2018,광진구,52
6,2018,구로구,65
7,2018,금천구,39
8,2018,노원구,118
9,2018,도봉구,56
10,2018,동대문구,58
11,2018,동작구,51
12,2018,마포구,54
13,2018,서대문구,47
14,2018,서초구,62
15,2018,성동구,50
16,2018,성북구,73
17,2018,송파구,104
18,2018,양천구,79
19,2018,영등포구,52
20,2018,용산구,44
21,2018,은평구,84
22,2018,종로구,50
23,2018,중구,42
24,2018,중랑구,57
25,2019,강남구,101
26,2019,강동구,73
27,2019,강북구,41
28,2019,강서구,104
29,2019,관악구,72
30,2019,광진구,52
31,2019,구로구,67
32,2019,금천구,39
33,2019,노원구,118
34,2019,도봉구,56
35,2019,동대문구,58
36,2019,동작구,51
37,2019,마포구,54
38,2019,서대문구,47
39,2019,서초구,62
40,2019,성동구,50
41,2019,성북구,73
42,2019,송파구,106
43,2019,양천구,79
44,2019,영등포구,52
45,2019,용산구,44
46,2019,은평구,85
47,2019,종로구,50
48,2019,중구,42
49,2019,중랑구,57
50,2020,강남구,101
51,2020,강동구,74
52,2020,강북구,41
53,2020,강서구,103
54,2020,관악구,72
55,2020,광진구,52
56,2020,구로구,68
57,2020,금천구,39
58,2020,노원구,118
59,2020,도봉구,56
60,2020,동대문구,58
61,2020,동작구,51
62,2020,마포구,54
63,2020,서대문구,47
64,2020,서초구,62
65,2020,성동구,50
66,2020,성북구,73
67,2020,송파구,106
68,2020,양천구,79
69,2020,영등포구,52
70,2020,용산구,44
71,2020,은평구,85
72,2020,종로구,50
73,2020,중구,42
74,2020,중랑구,57
75,2021,강남구,101
76,2021,강동구,76
77,2021,강북구,41
78,2021,강서구,103
79,2021,관악구,72
80,2021,광진구,52
81,2021,구로구,68
82,2021,금천구,39
83,2021,노원구,118
84,2021,도봉구,56
85,2021,동대문구,58
86,2021,동작구,51
87,2021,마포구,54
88,2021,서대문구,47
89,2021,서초구,62
90,2021,성동구,50
91,2021,성북구,73
92,2021,송파구,106
93,2021,양천구,79
94,2021,영등포구,53
95,2021,용산구,44
96,2021,은평구,84
97,2021,종로구,50
98,2021,중구,42
99,2021,중랑구,57
100,2022,강남구,101
101,2022,강동구,76
102,2022,강북구,41
103,2022,강서구,103
104,2022,관악구,72
105,2022,광진구,52
106,2022,구로구,68
107,2022,금천구,39
108,2022,노원구,118
109,2022,도봉구,56
110,2022,동대문구,58
111,2022,동작구,51
112,2022,마포구,54
113,2022,서대문구,47
114,2022,서초구,62
115,2022,성동구,48
116,2022,성북구,73
117,2022,송파구,110
118,2022,양천구,79
119,2022,영등포구,53
120,2022,용산구,44
121,2022,은평구,84
122,2022,종로구,50
123,2022,중구,42
124,2022,중랑구,58
