자치구별,2018,2019,2020,2021
종로,364,370,272,271
중구,357,314,283,282
용산,417,362,319,248
성동,204,205,171,220
광진,363,415,352,325
동대문,243,249,244,282
중랑,238,212,276,273
성북,303,259,212,222
강북,273,239,217,222
도봉,177,136,131,131
노원,293,272,236,293
은평,312,283,251,293
서대문,278,268,251,292
마포,735,673,577,524
양천,193,199,189,202
강서,424,442,410,434
구로,405,363,344,341
금천,273,221,183,246
영등포,592,520,484,480
동작,416,367,305,304
관악,545,579,557,528
서초,635,785,578,540
강남,1010,1280,1048,946
송파,515,459,444,496
강동,241,280,289,234
