자치구별,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
강남구,480.0,6.0,85.0,202206.0,207409.0,2296.0,2022.0,6.0
강동구,438.0,4.0,62.0,202206.0,85089.0,1322.0,2022.0,6.0
강북구,689.0,8.0,55.0,202207.0,50245.0,942.0,2022.0,7.0
강서구,792.0,9.0,63.0,202206.0,65716.0,1036.0,2022.0,6.0
관악구,1365.0,18.0,61.0,202205.0,63250.0,1045.0,2022.0,5.0
광진구,384.0,6.0,72.0,202206.0,104770.0,1424.0,2022.0,6.0
구로구,409.0,13.0,55.0,202205.0,50468.0,881.0,2022.0,5.0
금천구,827.0,8.0,48.0,202207.0,45721.0,1014.0,2022.0,7.0
노원구,598.0,1.0,60.0,202206.0,65202.0,1116.0,2022.0,6.0
도봉구,420.0,4.0,66.0,202206.0,56234.0,890.0,2022.0,6.0
동대문구,451.0,7.0,60.0,202206.0,68746.0,1108.0,2022.0,6.0
동작구,473.0,10.0,59.0,202206.0,82560.0,1422.0,2022.0,6.0
마포구,462.0,6.0,69.0,202205.0,106388.0,1567.0,2022.0,5.0
서대문구,414.0,16.0,70.0,202206.0,83188.0,1219.0,2022.0,6.0
서초구,944.0,8.0,88.0,202205.0,213088.0,2328.0,2022.0,5.0
성동구,564.0,13.0,79.0,202206.0,147679.0,1841.0,2022.0,6.0
성북구,511.0,23.0,71.0,202206.0,76513.0,1129.0,2022.0,6.0
송파구,259.0,2.0,79.0,202206.0,151491.0,1965.0,2022.0,6.0
양천구,755.0,3.0,75.0,202206.0,97136.0,1310.0,2022.0,6.0
영등포구,780.0,12.0,58.0,202206.0,82478.0,1220.0,2022.0,6.0
용산구,253.0,29.0,104.0,202206.0,218757.0,1986.0,2022.0,6.0
은평구,306.0,10.0,64.0,202206.0,65036.0,1056.0,2022.0,6.0
종로구,261.0,7.0,54.0,202205.0,68236.0,1175.0,2022.0,5.0
중구,578.0,126.0,60.0,202206.0,74575.0,1217.0,2022.0,6.0
중랑구,427.0,13.0,50.0,202205.0,48790.0,994.0,2022.0,5.0
평균,554.0,14.0,67.0,202206.0,95151.0,1340.0,2022.0,6.0
