,자치구별,2021 총전입,2021 총전출,2021 순이동,2021 인구이동률(%)
1,평균,1418187,1524430,-106243,-3.5999999999999996
2,종로구,22204,24428,-2224,-4.8
3,중구,19917,21126,-1209,-2.9000000000000004
4,용산구,36011,39572,-3561,-4.7
5,성동구,39831,46075,-6244,-7.3
6,광진구,51522,56750,-5228,-4.8
7,동대문구,48955,51031,-2076,-2.1
8,중랑구,52867,57957,-5090,-4.6
9,성북구,59054,62394,-3340,-2.8000000000000003
10,강북구,37057,42961,-5904,-7.3999999999999995
11,도봉구,36895,42682,-5787,-7.3
12,노원구,58736,68473,-9737,-7.7
13,은평구,63269,66951,-3682,-2.8000000000000003
14,서대문구,42484,47061,-4577,-5.1
15,마포구,61543,62124,-581,-0.5
16,양천구,54952,60442,-5490,-4.8
17,강서구,87269,91368,-4099,-2.3
18,구로구,48170,54880,-6710,-6.5
19,금천구,35663,35047,616,0.8999999999999999
20,영등포구,60565,61108,-543,-0.4
21,동작구,64257,68311,-4054,-3.1
22,관악구,89756,95711,-5955,-3.2
23,서초구,70064,81777,-11713,-7.7
24,강남구,94082,98106,-4024,-2.1
25,송파구,105181,113651,-8470,-3.9
26,강동구,77883,74444,3439,2.3
