자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2022.0,6.0,85.0,207409.0,2296.0
강동구,2022.0,6.0,62.0,85089.0,1322.0
강북구,2022.0,7.0,55.0,50245.0,942.0
강서구,2022.0,6.0,63.0,65716.0,1036.0
관악구,2022.0,5.0,61.0,63250.0,1045.0
광진구,2022.0,6.0,72.0,104770.0,1424.0
구로구,2022.0,5.0,55.0,50468.0,881.0
금천구,2022.0,7.0,48.0,45721.0,1014.0
노원구,2022.0,6.0,60.0,65202.0,1116.0
도봉구,2022.0,6.0,66.0,56234.0,890.0
동대문구,2022.0,6.0,60.0,68746.0,1108.0
동작구,2022.0,6.0,59.0,82560.0,1422.0
마포구,2022.0,5.0,69.0,106388.0,1567.0
서대문구,2022.0,6.0,70.0,83188.0,1219.0
서초구,2022.0,5.0,88.0,213088.0,2328.0
성동구,2022.0,6.0,79.0,147679.0,1841.0
성북구,2022.0,6.0,71.0,76513.0,1129.0
송파구,2022.0,6.0,79.0,151491.0,1965.0
양천구,2022.0,6.0,75.0,97136.0,1310.0
영등포구,2022.0,6.0,58.0,82478.0,1220.0
용산구,2022.0,6.0,104.0,218757.0,1986.0
은평구,2022.0,6.0,64.0,65036.0,1056.0
종로구,2022.0,5.0,54.0,68236.0,1175.0
중구,2022.0,6.0,60.0,74575.0,1217.0
중랑구,2022.0,5.0,50.0,48790.0,994.0
평균,2022.0,,67.0,93805.0,1305.0
