"자치구별(1)",자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,18261,91735,56,33806,220,16296,9145,9447,64,1,120,21530,4,983,1,456,12,2624,60,79,4887,65,73,4786,3616,1650,3,12
"서울시",종로구,489,3636,4,2996,2,228,198,104,8,0,1,96,0,0,0,0,0,0,1,40,151,0,1,149,123,23,0,0
"서울시",중구,572,1286,2,804,3,239,240,173,16,0,0,0,0,0,0,0,0,0,6,0,205,0,1,50,99,20,0,0
"서울시",용산구,323,895,1,725,2,80,150,79,1,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,63,10,1,1
"서울시",성동구,460,1881,1,855,6,388,225,120,0,0,3,509,0,0,0,0,0,0,1,0,125,0,0,0,99,9,0,0
"서울시",광진구,559,2622,2,1097,5,431,275,422,0,0,2,495,0,0,0,0,0,0,2,0,152,0,2,100,119,77,0,0
"서울시",동대문구,596,5313,4,1725,11,1001,261,417,0,0,7,1363,0,0,0,0,2,510,4,18,154,2,2,208,150,64,1,5
"서울시",중랑구,535,3320,3,1057,13,1015,247,568,0,0,2,272,0,0,0,0,1,268,0,0,159,0,1,45,109,95,0,0
"서울시",성북구,533,3519,1,1048,6,517,252,370,1,0,6,1292,1,223,0,0,0,0,1,0,148,0,1,38,116,31,0,0
"서울시",강북구,467,2299,1,201,8,795,224,379,0,0,6,867,0,0,0,0,0,0,1,0,131,1,0,0,96,56,0,0
"서울시",도봉구,366,2508,1,392,5,526,164,111,0,0,5,538,1,157,0,0,3,601,1,0,102,0,2,183,82,0,0,0
"서울시",노원구,737,3552,3,1536,6,364,363,412,0,0,6,1080,0,0,0,0,0,0,3,0,202,0,3,137,151,23,0,0
"서울시",은평구,688,3753,2,948,9,555,327,326,0,0,6,1040,0,0,1,456,1,220,1,0,187,0,3,128,151,80,0,0
"서울시",서대문구,437,3980,2,2660,5,273,207,271,0,0,4,588,0,0,0,0,0,0,2,7,124,0,2,161,91,20,0,0
"서울시",마포구,762,1015,0,0,4,234,394,127,1,0,3,379,0,0,0,0,0,0,3,0,204,0,3,213,150,62,0,0
"서울시",양천구,651,3041,3,1310,5,453,293,367,0,0,3,661,0,0,0,0,0,0,3,0,191,0,4,209,149,41,0,0
"서울시",강서구,887,4802,4,1272,16,1134,430,546,2,0,5,936,0,0,0,0,1,177,3,0,232,0,7,509,187,228,0,0
"서울시",구로구,583,4628,2,1275,8,642,271,268,2,0,7,1646,1,403,0,0,1,182,1,0,174,0,2,128,114,84,0,0
"서울시",금천구,356,2181,1,242,4,365,167,243,0,0,4,671,0,0,0,0,1,212,0,0,105,0,4,409,70,39,0,0
"서울시",영등포구,793,6157,7,2046,8,716,366,348,9,0,13,2568,0,0,0,0,1,239,0,0,239,0,3,177,147,63,0,0
"서울시",동작구,595,2826,2,1550,5,317,274,284,0,0,3,527,0,0,0,0,0,0,2,0,175,0,1,50,133,98,0,0
"서울시",관악구,710,2503,1,291,11,779,333,409,3,0,3,652,0,0,0,0,0,0,1,0,204,0,3,133,151,239,0,0
"서울시",서초구,1306,3679,1,1362,12,1013,715,325,8,0,4,597,0,0,0,0,0,0,5,0,311,18,6,332,243,26,1,6
"서울시",강남구,2790,8852,3,3055,34,2186,1787,1342,6,1,9,1395,0,0,0,0,0,0,13,5,544,44,11,769,383,55,0,0
"서울시",송파구,1214,7211,2,3094,18,1206,586,780,4,0,11,1440,1,200,0,0,1,215,3,0,329,0,5,226,254,50,0,0
"서울시",강동구,852,6276,3,2265,14,839,396,656,3,0,7,1918,0,0,0,0,0,0,3,9,234,0,6,432,186,157,0,0
