"자치구별(1)",자치구별(2),2018,2019,2020,2021,2022
"자치구별(1)",자치구별(2),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개)
"합계",소계,276,277,278,280,281
"합계",국립,2,2,2,2,2
"합계",공립,274,275,276,278,279
"합계",종로구,2,2,2,2,2
"합계",중구,4,4,4,4,4
"합계",용산구,4,4,4,4,4
"합계",성동구,10,10,10,10,10
"합계",광진구,9,9,9,9,9
"합계",동대문구,9,9,9,9,9
"합계",중랑구,11,11,11,11,11
"합계",성북구,10,10,10,10,10
"합계",강북구,8,8,8,8,8
"합계",도봉구,11,11,11,11,11
"합계",노원구,21,21,21,21,21
"합계",은평구,11,11,11,11,11
"합계",서대문구,7,7,7,7,7
"합계",마포구,9,9,9,9,9
"합계",양천구,16,16,16,16,16
"합계",강서구,16,16,16,16,16
"합계",구로구,12,12,13,13,13
"합계",금천구,7,7,7,7,7
"합계",영등포구,11,11,11,12,12
"합계",동작구,12,12,12,12,12
"합계",관악구,12,12,12,12,12
"합계",서초구,13,13,13,13,13
"합계",강남구,18,18,18,18,18
"합계",송파구,21,22,22,22,23
"합계",강동구,12,12,12,13,13
