,자치구별,2018편의점수,2019편의점수,2020편의점수,2021편의점수,2022편의점수
0,서초구,298.0,314.0,321.0,317.0,323.0
1,강남구,558.0,597.0,606.0,615.0,627.0
2,동작구,118.0,141.0,147.0,161.0,172.0
3,송파구,108.0,123.0,160.0,208.0,243.0
4,광진구,137.0,181.0,200.0,220.0,233.0
5,용산구,105.0,118.0,129.0,130.0,135.0
6,동대문구,154.0,188.0,188.0,204.0,221.0
7,마포구,219.0,202.0,183.0,221.0,233.0
8,노원구,139.0,153.0,165.0,189.0,197.0
9,영등포구,263.0,303.0,326.0,330.0,322.0
10,강서구,209.0,260.0,279.0,282.0,308.0
11,성북구,121.0,148.0,165.0,180.0,199.0
12,성동구,108.0,123.0,126.0,144.0,165.0
13,종로구,87.0,94.0,84.0,85.0,87.0
14,중구,198.0,215.0,213.0,212.0,217.0
15,은평구,135.0,126.0,148.0,166.0,169.0
16,강북구,90.0,107.0,122.0,132.0,136.0
17,강동구,220.0,254.0,268.0,280.0,286.0
18,구로구,156.0,184.0,207.0,229.0,254.0
19,양천구,147.0,174.0,186.0,198.0,203.0
20,관악구,250.0,278.0,265.0,285.0,298.0
21,금천구,133.0,162.0,173.0,203.0,207.0
22,도봉구,113.0,129.0,137.0,149.0,156.0
23,중랑구,144.0,186.0,196.0,223.0,233.0
24,서대문구,124.0,160.0,191.0,201.0,208.0
25,평균,173.36,196.8,207.4,222.56,233.28
